2011-01,1,2.3,1.3692
2011-02,1,2.4,1.3834
2011-03,1,2.7,1.4207
2011-04,1,2.8,1.486
2011-05,1.25,2.7,1.4385
2011-06,1.25,2.7,1.4453
2011-07,1.25,2.6,1.426
2011-08,1.5,2.5,1.445
2011-09,1.5,3,1.3503
2011-10,1.5,3,1.4001
2011-11,1.5,3,1.3418
2011-12,1.25,2.8,1.2939
2012-01,1,2.7,1.3176
2012-02,1,2.7,1.3443
2012-03,1,2.7,1.3356
2012-04,1,2.6,1.3214
2012-05,1,2.4,1.2403
2012-06,1,2.4,1.259
2012-07,1,2.4,1.2284
2012-08,0.75,2.6,1.2611
2012-09,0.75,2.6,1.293
2012-10,0.75,2.5,1.2993
2012-11,0.75,2.2,1.2986
2012-12,0.75,2.2,1.3194
2013-01,0.75,2,1.355
2013-02,0.75,1.9,1.3129
2013-03,0.75,1.7,1.2805
2013-04,0.75,1.2,1.3072
2013-05,0.75,1.4,1.3006
2013-06,0.5,1.6,1.308
2013-07,0.5,1.6,1.3275
2013-08,0.5,1.3,1.3235
2013-09,0.5,1.1,1.3505
2013-10,0.5,0.7,1.3641
2013-11,0.5,0.9,1.3611
2013-12,0.25,0.8,1.3791
2014-01,0.25,0.8,1.3516
2014-02,0.25,0.7,1.3813
2014-03,0.25,0.5,1.3788
2014-04,0.25,0.7,1.385
2014-05,0.25,0.5,1.3607
2014-06,0.25,0.5,1.3658
2014-07,0.15,0.4,1.3379
2014-08,0.15,0.4,1.3188
2014-09,0.15,0.3,1.2583
2014-10,0.05,0.4,1.2524
2014-11,0.05,0.3,1.2483
2014-12,0.05,-0.2,1.2141
2015-01,0.05,-0.6,1.1305
2015-02,0.05,-0.3,1.124
2015-03,0.05,-0.1,1.0759
2015-04,0.05,0.2,1.1215
2015-05,0.05,0.6,1.097
2015-06,0.05,0.5,1.1189
2015-07,0.05,0.5,1.0967
2015-08,0.05,0.4,1.1215
2015-09,0.05,0.2,1.1203
2015-10,0.05,0.4,1.1017
2015-11,0.05,0.1,1.0579
2015-12,0.05,0.3,1.0887
2016-01,0.05,0.3,1.092
2016-02,0.05,-0.1,1.0888
2016-03,0.05,0,1.1385
2016-04,0,-0.3,1.1403
2016-05,0,-0.1,1.1154
2016-06,0,0,1.1102
2016-07,0,0.2,1.1113
2016-08,0,0.2,1.1132
2016-09,0,0.4,1.1161
2016-10,0,0.5,1.0946
2016-11,0,0.6,1.0635
2016-12,0,1.1,1.0541
2017-01,0,1.7,1.0755
2017-02,0,2,1.0597
2017-03,0,1.5,1.0691
2017-04,0,1.9,1.093
2017-05,0,1.4,1.1221
2017-06,0,1.3,1.1412
2017-07,0,1.3,1.1727
2017-08,0,1.5,1.1825
2017-09,0,1.6,1.1806
2017-10,0,1.4,1.1638
2017-11,0,1.5,1.1849
2017-12,0,1.3,1.1993
2018-01,0,1.3,1.2457
2018-02,0,1.1,1.2214
2018-03,0,1.4,1.2321
2018-04,0,1.2,1.2079
2018-05,0,2,1.1699
2018-06,0,2,1.1658
2018-07,0,2.2,1.1736
2018-08,0,2.1,1.1651
2018-09,0,2.1,1.1576
2018-10,0,2.3,1.1318
2018-11,0,1.9,1.1359
2018-12,0,1.5,1.145
2019-01,0,1.4,1.1488
2019-02,0,1.5,1.1416
2019-03,0,1.4,1.1235
2019-04,0,1.7,1.1218
2019-05,0,1.2,1.1151
2019-06,0,1.3,1.138
2019-07,0,1,1.1151
2019-08,0,1,1.1036
2019-09,0,0.8,1.0889
2019-10,0,0.7,1.1154
2019-11,0,1,1.0982
2019-12,0,1.3,1.1234
2020-01,0,1.4,1.1052
